carat,cut,color,clarity,depth,table,x,y,z
0.32,2,0,6,61.7,55.0,4.44,4.41,2.73
0.36,4,3,2,61.8,60.0,4.53,4.57,2.81
0.58,2,3,2,62.0,58.0,5.33,5.38,3.32
0.31,2,3,1,61.8,55.0,4.35,4.39,2.7
0.51,2,4,4,61.6,55.0,5.17,5.19,3.19
0.9,3,5,4,62.9,60.0,6.09,6.05,3.82
0.71,2,4,3,62.1,57.0,5.68,5.76,3.55
0.71,3,3,5,63.0,54.0,5.69,5.64,3.57
0.31,3,2,1,61.9,58.0,4.39,4.36,2.71
1.0,2,0,4,62.4,55.0,6.4,6.43,4.0
0.4,2,1,7,62.6,54.0,4.71,4.74,2.96
0.91,1,4,4,57.8,61.0,6.4,6.36,3.69
0.47,2,5,5,62.1,54.0,4.98,5.0,3.1
0.7,4,2,6,59.3,62.0,5.74,5.77,3.41
0.31,1,2,4,63.9,55.0,4.3,4.27,2.74
0.3,3,1,2,62.5,59.0,4.28,4.3,2.68
1.0,3,1,0,62.3,58.0,6.38,6.33,3.96
0.41,2,2,2,62.7,57.0,4.7,4.74,2.96
0.91,2,1,2,61.4,54.0,6.26,6.24,3.84
1.02,2,0,7,62.2,59.0,6.41,6.46,4.0
1.5,3,3,4,60.8,61.0,7.36,7.29,4.45
0.3,2,4,6,61.2,57.0,4.3,4.39,2.66
0.53,2,2,4,61.6,55.0,5.24,5.21,3.22
0.39,4,2,5,60.1,56.0,4.77,4.82,2.88
0.51,2,4,7,61.0,57.0,5.22,5.18,3.17
0.7,2,5,6,61.5,57.0,5.72,5.75,3.52
2.01,3,3,2,60.3,59.0,8.23,8.15,4.94
0.9,4,5,5,61.4,58.0,6.16,6.26,3.81
0.55,2,2,2,61.9,55.0,5.25,5.29,3.26
0.4,2,3,4,62.4,57.0,4.74,4.72,2.95
2.05,4,5,3,59.8,56.0,8.32,8.41,5.0
0.98,1,4,3,57.9,56.0,6.51,6.47,3.76
0.27,2,2,7,60.0,62.0,4.21,4.22,2.53
0.52,3,3,3,58.8,62.0,5.31,5.3,3.12
1.01,4,1,5,62.2,58.0,6.36,6.41,3.97
1.5,1,3,1,59.9,59.0,7.39,7.46,4.45
0.31,2,3,5,62.0,57.0,4.37,4.34,2.7
0.36,2,1,5,61.2,56.0,4.63,4.59,2.82
1.09,2,2,2,62.0,56.0,6.61,6.56,4.08
0.55,2,1,4,62.0,56.0,5.24,5.27,3.26
1.36,3,5,4,62.0,59.0,7.1,7.06,4.39
1.02,4,2,4,61.3,59.0,6.45,6.51,3.97
1.09,2,3,7,60.6,57.0,6.62,6.7,4.05
0.38,2,1,7,61.9,57.0,4.63,4.65,2.87
0.23,4,2,6,62.8,54.0,3.92,3.94,2.47
1.27,2,4,2,60.1,58.0,7.02,7.05,4.23
0.32,2,2,4,61.3,56.0,4.4,4.44,2.71
1.0,3,1,5,62.8,62.0,6.29,6.26,3.94
2.3,3,5,3,61.3,58.0,8.53,8.46,5.21
0.3,2,4,7,61.7,54.0,4.34,4.31,2.67
0.59,2,2,3,60.1,57.0,5.45,5.49,3.29
1.19,3,5,3,59.5,59.0,6.95,6.89,4.12
0.9,1,4,4,64.0,59.0,6.05,6.01,3.86
1.0,4,2,4,63.7,57.0,6.33,6.35,4.04
0.34,2,3,5,62.1,55.0,4.46,4.49,2.78
1.0,1,5,5,62.6,59.0,6.28,6.33,3.95
0.54,1,4,2,63.3,57.0,5.15,5.22,3.28
0.96,0,5,3,66.3,58.0,6.07,5.9,3.97
0.3,2,5,5,62.0,55.0,4.3,4.35,2.68
0.3,4,3,7,61.3,57.0,4.29,4.33,2.64
0.23,4,2,7,61.9,59.0,3.94,3.97,2.45
1.01,2,3,2,61.8,55.0,6.46,6.43,3.98
0.31,1,3,4,63.3,56.0,4.29,4.33,2.73
1.22,2,2,3,62.5,56.2,6.81,6.85,4.27
0.53,2,5,3,61.8,55.0,5.22,5.26,3.24
0.62,2,0,2,60.8,59.0,5.48,5.5,3.34
0.53,2,4,2,61.5,54.0,5.21,5.26,3.22
0.52,1,4,2,63.6,62.0,5.11,5.04,3.23
0.72,4,2,4,60.2,59.0,5.79,5.84,3.5
1.23,4,4,6,62.5,58.0,6.77,6.82,4.25
1.57,2,2,2,61.1,55.0,7.55,7.53,4.61
1.0,4,2,3,61.7,58.0,6.32,6.36,3.91
0.32,2,4,2,61.0,56.6,4.4,4.43,2.7
0.79,2,1,5,59.3,57.0,6.02,6.06,3.58
0.41,2,2,5,61.7,54.0,4.79,4.81,2.96
0.52,2,0,5,62.0,56.0,5.17,5.19,3.21
1.52,2,2,5,62.3,55.0,7.37,7.33,4.58
1.5,2,1,2,62.0,55.0,7.4,7.32,4.56
0.91,2,2,2,62.0,55.0,6.21,6.24,3.86
0.8,3,4,3,61.6,59.0,5.92,5.86,3.63
0.57,4,3,4,59.3,56.0,5.38,5.44,3.21
0.71,4,1,3,62.2,58.0,5.68,5.73,3.55
0.3,2,5,6,62.1,56.0,4.3,4.33,2.68
0.3,2,4,2,62.2,53.0,4.29,4.32,2.68
0.32,3,1,2,60.4,61.0,4.42,4.39,2.66
0.72,1,2,5,58.0,57.0,5.93,6.01,3.46
0.31,4,3,3,63.3,54.0,4.34,4.29,2.73
1.07,2,3,4,61.8,55.0,6.59,6.55,4.06
1.18,0,2,3,55.9,64.0,7.15,7.01,3.95
0.55,3,5,5,61.7,55.0,5.35,5.29,3.28
1.03,4,6,3,58.0,60.0,6.64,6.67,3.86
0.71,4,5,6,63.0,58.0,5.66,5.68,3.57
0.71,4,1,5,63.4,61.0,5.6,5.57,3.54
1.2,3,1,7,62.3,59.0,6.83,6.79,4.24
1.21,4,1,2,62.2,60.0,6.78,6.76,4.21
0.51,2,0,6,61.7,56.0,5.12,5.16,3.17
1.05,2,3,5,61.6,56.0,6.52,6.56,4.03
0.7,4,5,2,61.6,63.0,5.68,5.59,3.47
0.31,3,2,2,60.7,58.0,4.38,4.35,2.65
0.31,4,4,2,58.7,60.0,4.43,4.47,2.61
0.33,3,5,7,61.4,58.0,4.48,4.45,2.74
0.52,2,3,7,62.1,56.0,5.14,5.17,3.2
0.5,4,1,5,63.4,59.0,5.09,5.06,3.22
0.76,1,3,4,60.3,60.7,5.86,5.9,3.55
1.02,4,2,5,59.9,56.0,6.56,6.6,3.94
1.17,1,5,2,60.0,64.0,6.91,6.83,4.12
1.1,3,6,3,59.6,59.0,6.74,6.72,4.01
0.9,4,2,2,63.4,56.0,6.06,6.12,3.86
0.71,4,3,4,62.0,53.0,5.72,5.76,3.56
1.01,1,4,3,64.1,56.0,6.37,6.3,4.06
0.55,2,3,7,62.5,56.0,5.25,5.22,3.27
0.32,2,1,6,61.6,56.0,4.37,4.43,2.71
0.75,2,1,3,62.6,55.0,5.72,5.79,3.6
0.3,2,1,2,61.6,54.0,4.32,4.35,2.67
1.51,4,4,2,61.7,61.0,7.3,7.35,4.52
0.3,3,2,7,59.5,59.0,4.42,4.38,2.62
1.01,4,3,4,63.2,58.0,6.38,6.34,4.02
0.27,4,0,4,63.2,55.0,4.1,4.16,2.61
0.33,3,4,7,62.4,60.0,4.42,4.39,2.75
0.23,4,1,7,61.4,62.0,3.9,3.95,2.41
0.31,1,1,2,63.1,55.0,4.33,4.36,2.74
1.04,3,4,4,59.7,59.0,6.64,6.59,3.95
0.3,3,3,5,61.6,60.0,4.28,4.33,2.65
1.02,2,0,2,62.2,56.0,6.43,6.47,4.0
0.25,4,1,7,61.1,61.0,4.03,4.06,2.47
0.31,3,3,6,60.5,60.0,4.33,4.4,2.64
1.51,4,6,7,62.9,58.0,7.21,7.33,4.57
0.35,2,5,5,61.7,57.0,4.56,4.52,2.8
1.21,2,4,3,62.1,58.0,6.78,6.84,4.23
1.52,3,2,5,60.9,61.0,7.46,7.28,4.49
0.27,2,1,5,60.8,56.0,4.25,4.23,2.58
0.5,1,1,5,63.3,64.0,4.98,5.0,3.16
0.55,3,2,2,60.2,58.0,5.31,5.35,3.21
0.32,2,1,5,61.7,56.0,4.41,4.44,2.73
0.94,4,4,3,61.9,57.0,6.21,6.29,3.87
1.51,3,1,5,62.6,60.0,7.28,7.22,4.54
0.31,3,1,7,61.9,58.0,4.38,4.35,2.7
2.01,0,3,3,65.6,56.0,7.89,7.84,6.16
1.01,4,4,2,61.8,60.0,6.38,6.44,3.96
1.23,4,2,4,62.0,59.0,6.84,6.87,4.25
1.0,3,0,3,61.6,58.0,6.45,6.37,3.95
1.51,2,4,4,62.5,54.0,7.28,7.34,4.57
1.3,3,0,3,61.5,58.0,6.98,6.91,4.27
0.5,2,3,5,61.6,55.0,5.11,5.14,3.16
0.54,4,3,2,62.2,57.0,5.17,5.22,3.23
0.53,4,3,6,61.7,57.0,5.19,5.22,3.21
0.31,4,3,5,58.8,62.0,4.4,4.41,2.59
0.32,3,6,4,61.9,58.0,4.33,4.39,2.7
1.13,2,5,4,61.9,55.0,6.67,6.7,4.14
0.37,2,1,7,61.8,54.0,4.63,4.6,2.85
0.9,4,0,2,62.8,59.0,6.14,6.18,3.87
1.01,3,3,7,61.4,58.0,6.46,6.51,3.98
0.41,3,3,5,62.4,58.0,4.72,4.76,2.96
0.8,2,0,2,62.2,57.0,5.89,5.85,3.65
0.75,4,0,2,59.7,62.0,5.89,5.94,3.53
0.54,2,4,4,61.0,56.0,5.25,5.27,3.21
0.38,2,4,7,62.2,54.6,4.62,4.66,2.89
0.74,2,1,7,62.2,57.0,5.78,5.83,3.61
0.32,1,5,2,63.5,57.0,4.3,4.33,2.74
0.58,2,4,1,61.6,57.0,5.34,5.37,3.3
1.2,3,4,2,60.8,60.0,6.9,6.85,4.18
0.39,2,0,7,62.1,56.0,4.65,4.69,2.9
0.9,1,3,2,62.5,62.0,6.04,6.09,3.79
1.05,2,3,5,61.6,59.0,6.51,6.54,4.02
0.62,2,1,4,61.3,56.0,5.52,5.54,3.39
1.68,2,1,3,60.4,55.0,7.7,7.79,4.68
1.13,4,1,3,63.4,59.0,6.53,6.59,4.16
0.26,2,1,7,62.3,57.0,4.09,4.06,2.54
0.71,4,6,3,61.1,58.0,5.67,5.76,3.49
1.46,3,3,3,59.5,59.0,7.34,7.29,4.35
0.7,2,2,2,61.0,56.0,5.75,5.72,3.5
0.5,4,2,2,62.7,59.0,5.04,5.07,3.17
0.43,2,3,7,61.9,55.0,4.86,4.84,3.0
0.91,1,4,4,63.4,56.0,6.12,6.18,3.9
1.02,4,1,5,62.5,57.0,6.36,6.41,3.99
0.32,2,3,1,62.9,55.0,4.41,4.37,2.76
0.52,2,1,5,61.2,56.0,5.23,5.16,3.18
1.71,3,4,3,62.5,57.0,7.67,7.62,4.78
0.34,2,3,1,61.9,57.0,4.48,4.47,2.77
0.7,2,0,2,62.0,54.0,5.73,5.76,3.56
0.9,2,4,5,62.4,56.0,6.15,6.18,3.85
1.51,2,3,5,62.8,57.0,7.33,7.26,4.58
1.21,1,4,2,58.2,58.0,6.98,7.01,4.07
0.4,2,1,5,62.4,56.0,4.74,4.71,2.95
0.31,2,0,4,61.6,54.0,4.33,4.37,2.68
1.06,2,4,2,62.2,57.0,6.56,6.49,4.06
0.71,2,3,4,62.7,57.0,5.69,5.73,3.58
0.43,0,1,5,60.5,59.0,4.92,4.9,2.97
0.73,3,2,2,61.9,60.0,5.78,5.81,3.59
0.91,2,2,3,60.3,57.0,6.26,6.34,3.8
1.29,3,5,5,60.4,58.0,7.12,7.03,4.27
1.04,2,2,2,61.3,56.0,6.51,6.55,4.0
1.12,4,3,1,61.0,58.0,6.7,6.72,4.09
1.24,2,6,5,61.8,58.0,6.88,6.84,4.24
2.01,2,3,2,59.2,57.0,8.23,8.19,4.86
1.04,4,2,4,61.6,60.0,6.49,6.54,4.01
0.34,2,0,5,60.8,57.0,4.52,4.56,2.76
1.2,3,3,5,59.4,58.0,6.91,6.85,4.09
0.42,2,4,4,62.0,57.0,4.8,4.82,2.98
0.32,2,3,2,62.5,55.0,4.38,4.35,2.73
0.41,2,5,5,61.5,55.0,4.8,4.82,2.96
1.2,3,2,2,60.1,59.0,6.92,6.85,4.14
0.26,4,3,6,61.8,57.0,4.06,4.1,2.52
1.0,4,4,2,62.2,59.0,6.32,6.35,3.94
0.39,3,3,6,59.9,59.0,4.73,4.75,2.84
0.4,4,3,4,60.4,57.0,4.76,4.77,2.88
0.9,1,3,3,63.8,59.0,6.02,6.05,3.85
0.43,2,5,1,62.0,55.0,4.83,4.85,3.0
0.32,2,1,4,61.8,55.0,4.43,4.4,2.73
0.43,3,3,4,61.8,59.0,4.83,4.88,3.0
0.34,1,5,2,63.7,54.0,4.43,4.48,2.84
0.35,2,3,4,62.5,55.0,4.55,4.51,2.83
0.92,4,0,3,63.3,59.0,6.18,6.12,3.89
0.56,2,0,2,62.3,56.0,5.33,5.26,3.3
1.0,1,0,5,63.1,56.0,6.36,6.4,4.02
1.3,2,3,4,62.4,56.0,7.03,6.95,4.36
0.61,3,1,2,60.1,59.0,5.51,5.48,3.3
0.91,2,5,3,61.6,57.0,6.24,6.23,3.84
1.5,0,4,0,66.6,54.0,7.05,7.01,4.68
0.97,3,3,2,62.6,58.0,6.24,6.18,3.89
0.33,2,3,7,61.5,55.0,4.47,4.51,2.76
0.51,4,3,4,62.7,56.0,5.08,5.13,3.2
0.31,2,3,6,60.8,56.0,4.39,4.36,2.66
0.34,2,2,5,61.5,55.0,4.53,4.57,2.8
1.04,3,5,4,61.6,56.0,6.59,6.52,4.04
0.32,2,4,5,61.3,55.0,4.44,4.4,2.71
1.6,4,5,5,60.0,60.0,7.55,7.59,4.54
0.3,3,0,2,62.2,58.0,4.28,4.31,2.67
0.5,2,1,3,62.4,57.0,5.07,5.03,3.15
0.32,3,3,4,59.2,59.0,4.47,4.45,2.64
1.01,1,3,4,63.8,56.0,6.27,6.34,4.02
0.91,4,2,2,62.3,60.0,6.08,6.15,3.81
2.0,3,4,3,62.8,57.0,8.05,8.01,5.04
0.53,3,2,5,60.6,58.0,5.26,5.2,3.17
0.34,2,4,6,61.8,57.0,4.46,4.44,2.75
1.06,4,3,7,62.9,56.0,6.56,6.6,4.14
0.59,4,1,5,59.4,63.0,5.42,5.46,3.23
0.72,4,3,3,61.9,59.0,5.67,5.71,3.52
1.01,1,1,2,56.9,61.0,6.65,6.6,3.77
0.39,2,2,2,61.3,56.0,4.69,4.72,2.88
0.31,3,5,2,62.3,58.0,4.38,4.35,2.72
1.57,2,3,2,61.8,55.0,7.43,7.49,4.61
0.32,2,5,5,62.2,57.0,4.42,4.39,2.74
1.01,4,0,3,61.4,60.0,6.33,6.38,3.9
1.51,3,2,2,63.0,58.0,7.32,7.28,4.6
0.7,4,5,6,62.1,58.0,5.62,5.65,3.5
0.43,2,0,4,61.6,56.0,4.85,4.86,2.99
1.06,2,2,0,61.8,55.0,6.55,6.58,4.06
0.44,3,3,2,61.1,59.0,4.86,4.9,2.98
0.71,2,0,5,61.2,56.0,5.76,5.78,3.53
0.39,2,3,2,61.0,55.0,4.75,4.82,2.92
0.77,3,6,2,61.8,59.0,5.82,5.86,3.61
1.06,2,0,4,62.0,57.0,6.49,6.54,4.04
1.3,4,5,5,62.7,57.0,6.88,6.9,4.32
0.9,4,3,4,62.4,58.0,6.14,6.16,3.84
0.31,3,3,5,61.5,60.0,4.31,4.34,2.66
0.91,4,1,4,61.9,59.0,6.17,6.23,3.84
0.3,3,3,6,61.7,58.0,4.26,4.3,2.64
0.23,4,3,6,62.0,56.0,3.95,3.98,2.46
0.7,3,2,7,62.5,59.0,5.68,5.61,3.53
1.0,2,5,5,62.4,52.0,6.41,6.45,4.02
1.64,2,5,4,60.5,57.0,7.68,7.62,4.64
0.3,3,5,4,60.8,59.0,4.32,4.3,2.62
1.11,2,4,3,61.5,55.0,6.65,6.69,4.1
0.33,3,1,7,60.3,58.0,4.47,4.49,2.7
0.72,2,5,7,62.8,57.0,5.69,5.74,3.59
0.41,2,3,2,62.2,56.0,4.77,4.75,2.96
0.41,2,5,7,62.3,56.0,4.73,4.77,2.96
1.0,3,4,2,62.7,59.0,6.37,6.3,3.97
1.5,2,4,4,62.4,56.0,7.29,7.34,4.57
0.5,4,5,2,62.8,60.0,5.04,5.08,3.18
1.15,3,1,3,61.7,60.0,6.78,6.7,4.16
0.41,2,6,5,62.2,54.0,4.76,4.79,2.97
0.9,3,2,2,63.0,60.0,6.13,6.09,3.85
0.71,3,0,5,62.7,58.0,5.53,5.67,3.54
2.07,3,6,5,61.5,59.0,8.2,8.16,5.03
0.3,3,0,5,61.0,58.0,4.34,4.32,2.64
0.71,1,2,2,66.2,55.0,5.49,5.53,3.65
0.79,4,2,2,62.9,57.0,5.86,5.94,3.71
0.28,4,1,4,58.9,58.0,4.27,4.32,2.53
1.5,4,4,3,63.3,57.0,7.27,7.21,4.59
0.52,2,3,2,62.2,54.0,5.18,5.2,3.23
0.3,2,3,4,62.9,57.0,4.31,4.28,2.7
1.36,2,2,3,62.0,56.0,7.08,7.11,4.4
1.73,3,5,4,61.8,58.0,7.75,7.68,4.76
0.31,2,0,2,61.2,57.0,4.38,4.34,2.67
0.51,2,1,5,60.9,56.0,5.2,5.15,3.15
0.32,2,1,5,62.0,55.0,4.38,4.46,2.74
0.55,2,1,4,61.1,55.0,5.3,5.33,3.25
0.37,2,1,5,61.9,53.0,4.62,4.65,2.87
0.39,2,4,2,61.5,56.0,4.69,4.71,2.89
2.3,3,6,2,59.6,59.0,8.61,8.56,5.12
0.31,2,0,7,61.7,54.0,4.38,4.43,2.72
0.3,3,5,4,59.8,60.0,4.36,4.34,2.6
0.31,4,5,5,61.6,56.0,4.36,4.39,2.69
0.42,2,4,1,61.9,56.0,4.79,4.81,2.97
0.43,3,3,6,60.3,58.0,4.87,4.91,2.95
1.02,3,1,2,62.8,58.0,6.45,6.39,4.03
0.53,2,3,4,61.2,55.0,5.23,5.26,3.21
1.55,3,0,5,61.5,58.0,7.48,7.51,4.61
0.92,1,0,2,63.6,57.0,6.14,6.09,3.89
1.1,3,5,2,60.4,61.0,6.73,6.69,4.05
0.3,3,3,4,62.5,55.0,4.32,4.25,2.68
1.15,1,4,4,64.3,54.0,6.66,6.62,4.27
0.5,2,0,3,62.4,56.0,5.06,5.1,3.17
0.7,1,3,2,64.6,59.0,5.49,5.54,3.56
1.2,2,2,5,61.2,53.0,6.88,6.85,4.2
1.52,1,4,5,63.3,57.0,7.32,7.33,4.64
1.0,3,2,4,62.3,61.0,6.38,6.33,3.96
0.37,2,2,6,61.5,56.0,4.59,4.61,2.83
1.09,4,1,3,62.2,58.0,6.54,6.61,4.09
1.02,3,3,4,60.8,58.0,6.52,6.47,3.95
0.72,3,2,2,62.6,59.0,5.74,5.69,3.58
0.41,2,3,4,61.5,56.0,4.79,4.77,2.94
0.38,3,2,6,61.6,58.0,4.63,4.66,2.86
1.01,3,2,5,61.1,59.0,6.44,6.35,3.91
0.31,2,1,5,61.6,57.0,4.35,4.38,2.69
0.9,4,2,5,63.2,57.0,6.12,6.07,3.85
0.7,2,3,4,61.4,55.0,5.74,5.69,3.51
1.65,2,4,7,62.1,56.0,7.68,7.65,4.76
1.11,4,5,3,63.1,57.0,6.59,6.54,4.14
1.01,4,4,5,63.3,58.0,6.33,6.27,3.99
0.3,3,4,2,60.8,61.0,4.3,4.25,2.6
0.41,2,6,4,62.2,55.0,4.79,4.76,2.97
0.3,2,5,3,62.4,54.0,4.32,4.34,2.7
0.9,3,2,2,62.6,62.0,6.13,6.11,3.83
1.0,0,1,2,65.1,61.0,6.15,6.08,3.98
0.43,2,5,6,60.6,57.0,4.88,4.94,2.97
0.52,4,4,5,63.5,58.0,5.08,5.09,3.23
0.81,2,6,5,62.1,56.0,5.92,5.97,3.69
0.32,3,4,6,60.9,58.0,4.43,4.4,2.69
0.77,2,3,4,62.4,54.0,5.89,5.93,3.69
0.61,3,4,4,59.6,61.0,5.53,5.44,3.27
0.71,4,1,5,60.7,56.0,5.81,5.82,3.53
0.27,2,1,5,62.7,55.0,4.15,4.18,2.61
0.57,2,2,7,62.0,55.0,5.31,5.3,3.29
0.51,2,0,5,61.9,55.0,5.15,5.19,3.2
2.21,3,4,3,61.3,60.0,8.35,8.33,5.11
1.7,3,5,5,61.7,59.0,7.63,7.68,4.72
1.23,3,3,2,61.2,59.0,6.88,6.81,4.19
1.32,4,4,2,62.3,57.0,7.04,6.99,4.37
1.21,3,4,5,60.8,62.0,6.82,6.78,4.13
